,r2,mse,evs,mae,mad,me
0,0.9104729744356052,280.08664582758604,0.9108144353457235,13.086240404799096,10.533478231384038,82.5679350268062
1,0.9445871133071493,1254.6358679749187,0.9445875905840119,26.923748931022214,22.161498340268054,169.1564030138528
2,0.9231538829426343,672.981259387699,0.9233133308506867,20.186080147736256,17.02916812029298,119.44385685888494
3,0.90404474738295,315.5794397524449,0.9066291927075324,14.029182726151209,11.708119253415447,55.680181244961204
4,0.8834537058325257,258.9262770794505,0.883610384674519,12.428877661809208,10.645152001602185,63.70683682328573
5,0.9490896702179277,1111.455523964481,0.9492556833138494,24.71144399473263,19.744857584386864,224.3539437712932
6,0.9472995287852964,1147.4994803160957,0.9475196040587927,25.465789170210456,20.460338964694074,208.13673732305176
7,0.9541774074834095,1737.4448597297408,0.9542762581454616,30.7306705960878,22.261535682619865,239.16739821740157
8,0.9387377190551558,997.6327155965942,0.9389747161325614,23.91610226861942,19.753189516331304,205.65184972205077
9,0.9508609938121865,1651.4564368013507,0.9511017911813778,29.418671050840498,22.030400094875517,235.25829214651662
10,0.9524951388610574,1463.4802820319612,0.9525418164374982,27.842780885598664,21.60752356175476,246.14756418217883
11,0.9497125413674462,1541.2663586537283,0.9498731352967417,29.18331242309348,23.756613980069574,251.3725573722653
12,0.9545664682867391,2042.197073934828,0.9545865213313629,33.23306567527997,26.56159928598231,301.97062018095403
13,0.9474513824932136,1144.3008508100916,0.9474517286951962,25.12242319321769,20.097823639451008,179.84579586229313
14,0.9613828612663108,1843.2423097148308,0.9613832568708081,31.872212658171875,25.90541225607899,301.8268412972625
15,0.9168019621571865,369.22767493452346,0.9168192453541856,14.90927178338252,12.341300337825885,113.07323842557236
16,0.9220045762263593,533.8185011414727,0.9232656933394664,18.047550230801008,14.89870958741389,123.83985075156028
17,0.9612941415803102,1796.1022136468612,0.9613248470557327,30.529752239761663,23.931356962907557,295.42786908362405
18,0.9404892556486095,630.5526709006831,0.9407433015807101,18.640869899409786,14.064520846918413,144.99041929862022
19,0.9380442648434107,864.3610730728651,0.9380633595770652,22.329750475099427,17.912563138113796,127.00424636718515
20,0.9383625396028699,659.5609385991995,0.9384141850137853,19.958648384240735,16.41386179436273,98.82738011759295
21,0.9560519360651285,1772.3657909741714,0.9563924451347469,31.362895470702288,25.953983046232338,264.1730949949724
22,0.9232100692356291,431.4800727324316,0.923286155857897,15.815474105774804,12.917149971565294,132.6120674939849
23,0.952255093425756,1302.106521268337,0.952501636773248,26.526215141485032,19.982838784927026,227.2362242344833
24,0.9584582231330785,1751.6925320245086,0.9587025753012689,30.552737166106173,22.89512719882441,305.70450332587404
25,0.9353264478922824,934.0343544601639,0.9353381745757767,23.06399327847453,19.439889215926883,149.81604864442363
26,0.9137052778245432,291.78151273674024,0.9140631742774326,13.217495376203425,11.629393843480159,67.39150896861594
27,0.9584818392528153,2037.9372325190898,0.958510274112377,32.66208478470964,24.909624980586045,354.2484836386004
28,0.9519399632519491,1453.5925466909246,0.9519403967371517,28.47206626285216,22.40973769560992,236.37495657394868
29,0.9437618723057528,613.3095688382098,0.9437620893879894,19.05344692184917,14.771254651520394,100.09792649840614
30,0.9422770315760225,1248.1407614050227,0.9423396807973754,26.163182029815417,21.5250809548387,237.59362332886462
31,0.9409558816109443,779.0680623286845,0.9411228795216869,20.942190519660823,17.83807878306027,178.38773383860803
32,0.9565249226052703,1378.6999809346228,0.9565259884115006,27.217688479157157,21.06892843282185,249.76587228213225
33,0.9153796085615576,362.6899845642806,0.9154049218943032,14.850095057483003,12.575310153134268,74.80464790999696
34,0.9467067434750317,1441.7224751482408,0.9467252342296711,27.42281896314384,21.32939200855685,208.2803481311612
35,0.9531611632408354,1754.2290050055287,0.9532234626448592,30.94607789916561,24.455933199081983,259.2018218185942
36,0.9158162597659167,471.13988276950755,0.9158647491762077,16.317666100150525,12.018194542826336,112.08832338022825
37,0.9556817078142563,1794.3236990987803,0.9556874261875382,30.961857177643694,23.96231515404361,269.423766586067
38,0.9416406546829598,707.2879510100797,0.941687770335653,20.71524194431812,16.97445232014627,151.3034122360158
39,0.9293924807911517,413.70235545841643,0.929588860607121,15.829950361264487,12.961224352823365,73.06280304209412
40,0.9118798680113397,291.7564710806358,0.9121390514541414,13.892396919067632,11.364362160004248,52.952436149478245
41,0.9344620945153448,560.1566571565717,0.9351930961130804,18.705400619209616,15.288753583006269,113.60469004134796
42,0.9461948799816197,905.352514936205,0.9466025081256009,23.177399171728368,19.01386318831709,114.4271657248621
43,0.9179845152567484,454.0750385064938,0.9180805938435516,16.14686413222869,12.558315271225524,98.23880047950371
44,0.9573620543928535,1786.2217582879964,0.957419187582658,30.615705026955045,23.290833230226553,300.7327897836227
45,0.9514708589805817,1076.3353957360116,0.9516227393874568,24.04599613277378,18.9230942050433,209.6571290069777
46,0.9099769520096872,297.23436649100597,0.9105194086032864,13.346573828612856,11.387720705025373,69.32911957258887
47,0.944858389402989,941.9787759143135,0.9449463570845926,23.169161408981246,18.178917572630326,157.3011358322177
48,0.9237392171150305,446.32926671825794,0.9238028791676093,16.317217238305293,13.076920241708308,123.40922032831651
49,0.9562398070400653,1229.9760140289077,0.956724536648385,26.346425367364162,19.866985064266487,228.02711333819263
