time,r2_score,evs
0.003871440887451172,-0.049270984649750105,0.32995267860032496
0.0038743019104003906,0.9188119917563913,0.919135421281352
0.0029425621032714844,0.9409758229881325,0.9409921451999042
0.005876779556274414,0.9430883768972165,0.9431983202033967
0.007812738418579102,0.9444223478449606,0.9444938928162351
0.006880998611450195,0.9446424116980522,0.9446424843779909
0.009724140167236328,0.9454824935024582,0.9454857953994726
0.012687921524047852,0.9477603022828177,0.9477603228023961
0.009793519973754883,0.9595212760908062,0.9595681591605782
0.014640092849731445,0.9598697186913226,0.9598711366320168
0.013652801513671875,0.960732616584979,0.960761719956859
0.018518924713134766,0.9606006608357838,0.9606019699296471
0.018529891967773438,0.9606217726591592,0.9606450153085786
0.018546342849731445,0.9612571870599044,0.9612573014106939
0.020498275756835938,0.9613828612663108,0.9613832568708081
0.025379657745361328,0.9640062093603813,0.9640064903523009
0.036104679107666016,0.9633695278585753,0.963379232987785
0.03802752494812012,0.9631934174039168,0.9632790198892255
0.033151865005493164,0.9626998843733401,0.9627203665332664
0.0487980842590332,0.9632571925565799,0.9632605977049851
0.04294466972351074,0.9630940970684723,0.9631179727976832
0.04977560043334961,0.9633772584983296,0.9633808960591017
0.044898271560668945,0.9637549050723411,0.9637553486480133
0.056574344635009766,0.9629852011122149,0.9631029262000788
0.06444525718688965,0.9641191810416195,0.9641280454308192
0.062470197677612305,0.9635222812422707,0.9635446884304507
0.05465531349182129,0.9637513842891106,0.9637885886635694
0.06437945365905762,0.9635701793924895,0.9635803419184994
0.05036592483520508,0.962992104396694,0.9630178351870327
