time,mad,me
0.007929563522338867,41.479245697541074,161.95956877184122
0.006578683853149414,12.86543421089732,72.84474496230018
0.009096622467041016,12.050111839652715,74.25618706453974
0.010847330093383789,11.870585811174294,73.44904570865481
0.01271677017211914,11.578555243646804,72.70215218707591
0.010926246643066406,11.316552536376548,72.79685743652084
0.021033763885498047,11.497308619487342,71.72390819103134
0.01694345474243164,11.543574260963624,68.32405777621938
0.02982783317565918,10.95359896173764,69.12016035192346
0.03206443786621094,10.938677810265574,70.56620801512827
0.02328038215637207,11.18370392598672,67.43525297509632
0.021846532821655273,10.881098418843521,69.1148060948276
0.028855323791503906,11.00283091195513,66.57832385540917
0.038025856018066406,11.248484230067504,68.57274725098932
0.02793574333190918,11.629393843480216,67.39150896861594
0.031478166580200195,11.305552369618255,70.41300866449433
0.04190421104431152,11.174886300497178,68.64744871936784
0.0479273796081543,11.051165982657153,67.43902122553538
0.043715476989746094,11.352327224532416,67.55722719252765
0.05472970008850098,11.819046152773694,69.63551547501442
0.058683156967163086,10.921801893574838,70.40709048326039
0.06891870498657227,11.145816498322574,70.55457235174401
0.061794281005859375,11.225645226256916,69.98850014678169
0.05798912048339844,11.256875175534475,70.40186980755834
0.056381940841674805,11.828351485618782,70.27537814487653
0.07675337791442871,11.082960483118768,69.81366280803593
0.06981468200683594,11.3191695478221,68.81077800827717
0.0720970630645752,11.350662565340627,70.98097842989011
0.06876325607299805,11.110412879737282,71.96518155653058
